학기,학수번호,학과,이수학점,강의시간,강의명,교수명,학습량,난이도,학점,성취감,강의만족도
2023년 여름학기,IFLS012(B0),ACADEMIC,ENGLISH,월(5-6) 화(5-6) 수(5-6) 목(5-6) ,"ACADEMIC ENGLISHⅡ(영강)대면수업, 중급 재수강반",Rockwell H. Stewart,-,-,-,-,-
2023년 1학기,IFLS012(R1),ACADEMIC,ENGLISH,월(4) 수(4) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012~2022학번),Anthony Hanf,2.8,2.3,4.3,3.5,4.5
2023년 1학기,IFLS012(R2),ACADEMIC,ENGLISH,화(1) 목(1) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012~2022학번),Anthony Hanf,-,-,-,-,-
2023년 1학기,IFLS012(R3),ACADEMIC,ENGLISH,화(1) 목(1) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012~2022학번),David M. Duke,2.0,1.0,5.0,2.0,5.0
2023년 1학기,IFLS012(R4),ACADEMIC,ENGLISH,화(4) 목(4) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012~2022학번),Benjamin Fallon,3.2,3.4,2.8,2.6,3.0
2023년 1학기,IFLS012(R6),ACADEMIC,ENGLISH,화(7) 목(7) ,ACADEMIC ENGLISHⅡ(영강)초급 재수강/미이수자반(일반 2012~2022학번),David W. Wellbaum,2.0,1.0,5.0,5.0,5.0
2023년 1학기,IFLS012(RA),ACADEMIC,ENGLISH,월(3) 수(3) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012~2022학번),Rockwell H. Stewart,4.0,2.8,3.8,2.5,3.3
2023년 1학기,IFLS012(RB),ACADEMIC,ENGLISH,월(1) 수(1) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012~2022학번),Peter L. Sinclair,3.2,3.3,4.3,3.7,3.8
2023년 1학기,IFLS012(RC),ACADEMIC,ENGLISH,월(2) 수(2) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012~2022학번),Peter L. Sinclair,3.3,3.0,4.0,4.0,4.3
2023년 1학기,IFLS012(RD),ACADEMIC,ENGLISH,화(3) 목(3) ,ACADEMIC ENGLISHⅡ(영강)중급 재수강/미이수자반(일반 2012~2022학번),Peter L. Sinclair,3.2,3.0,4.8,3.6,4.0
